1;Не имею конкретных знаний об инструменте;;0;required
1;Знаю, поскольку изучал<hint>Знания, полученные в школе, в высшем учебном заведении, на курсах, самообразование и т.д.</hint>;;0;required
1;Знаю, потому что работал / заключал сделки с данным инструментом<hint>Опыт работы в российской и (или) иностранной организации, которая совершала операции (работала) с данным видом финансового инструмента, а также в рамках индивидуального предпринимательства (иных форм организации деятельности), в том числе в профессиональном участнике рынка ценных бумаг, и (или) опыт совершения операций с данным видом финансового инструмента в собственных интересах (интересах третьих лиц), в том числе с участием профессионального участника рынка ценных бумаг. При этом имеется в  виду любой финансовый инструмент, относящийся к данному виду (данной группе) тестируемых финансовых инструментов.</hint>;;0;required
1;Знаю, потому что получил профессиональную консультацию<hint>Консультация инвестиционного советника, консультация сотрудника профессионального участника рынка ценных бумаг, кредитной организации, в том числе в ходе предложения финансового инструмента.</hint>;;0;required
2;До настоящего времени сделок не было<hint>В случае выбора ответа «а» на вопрос № 2 на данный вопрос (вопрос № 3) можно не отвечать.</hint>;;0;required
2;Не более 1 года;;0;required
2;1 год и более;;0;required
3;За последний год сделок не было;;0;required
3;Менее 10 сделок;;0;required
3;10 или более сделок;;0;required
4;Не имею конкретных знаний об инструменте;;0;required
4;Знаю, поскольку изучал<hint>Знания, полученные в школе, в высшем учебном заведении, на курсах, самообразование и т.д.</hint>;;0;required
4;Знаю, потому что работал / заключал сделки с данным инструментом<hint>Опыт работы в российской и (или) иностранной организации, которая совершала операции (работала) с данным видом финансового инструмента, а также в рамках индивидуального предпринимательства (иных форм организации деятельности), в том числе в профессиональном участнике рынка ценных бумаг, и (или) опыт совершения операций с данным видом финансового инструмента в собственных интересах (интересах третьих лиц), в том числе с участием профессионального участника рынка ценных бумаг. При этом имеется в  виду любой финансовый инструмент, относящийся к данному виду (данной группе) тестируемых финансовых инструментов.</hint>;;0;required
4;Знаю, потому что получил профессиональную консультацию<hint>Консультация инвестиционного советника, консультация сотрудника профессионального участника рынка ценных бумаг, кредитной организации, в том числе в ходе предложения финансового инструмента.</hint>;;0;required
5;До настоящего времени сделок не было<hint>В случае выбора ответа «а» на вопрос № 2 на данный вопрос (вопрос № 3) можно не отвечать.</hint>;;0;required
5;Не более 1 года;;0;required
5;1 год и более;;0;required
6;За последний год сделок не было;;0;required
6;Менее 10 сделок;;0;required
6;10 или более сделок;;0;required
7;Не имею конкретных знаний об инструменте;;0;required
7;Знаю, поскольку изучал<hint>Знания, полученные в школе, в высшем учебном заведении, на курсах, самообразование и т.д.</hint>;;0;required
7;Знаю, потому что работал / заключал сделки с данным инструментом<hint>Опыт работы в российской и (или) иностранной организации, которая совершала операции (работала) с данным видом финансового инструмента, а также в рамках индивидуального предпринимательства (иных форм организации деятельности), в том числе в профессиональном участнике рынка ценных бумаг, и (или) опыт совершения операций с данным видом финансового инструмента в собственных интересах (интересах третьих лиц), в том числе с участием профессионального участника рынка ценных бумаг. При этом имеется в  виду любой финансовый инструмент, относящийся к данному виду (данной группе) тестируемых финансовых инструментов.</hint>;;0;required
7;Знаю, потому что получил профессиональную консультацию<hint>Консультация инвестиционного советника, консультация сотрудника профессионального участника рынка ценных бумаг, кредитной организации, в том числе в ходе предложения финансового инструмента.</hint>;;0;required
8;до настоящего времени сделок не было<hint>В случае выбора ответа «а» на вопрос № 2 на данный вопрос (вопрос № 3) можно не отвечать.</hint>;;0;required
8;Не более 1 года;;0;required
8;1 год и более;;0;required
9;За последний год сделок не было;;0;required
9;Менее 10 сделок;;0;required
9;10 или более сделок;;0;required
60;Не имею конкретных знаний об инструменте;;0;required
60;Знаю, поскольку изучал<hint>Знания, полученные в школе, в высшем учебном заведении, на курсах, самообразование и т.д.</hint>;;0;required
